uri_s,count
https://hal.archives-ouvertes.fr/hal-02866791,0
https://hal.archives-ouvertes.fr/hal-03203963,0
https://hal.archives-ouvertes.fr/hal-01570068,0
https://hal.archives-ouvertes.fr/hal-02862823,0
https://hal.archives-ouvertes.fr/hal-02862554,0
https://halshs.archives-ouvertes.fr/halshs-02377010,0
https://hal.archives-ouvertes.fr/hal-03227744,0
https://halshs.archives-ouvertes.fr/halshs-03230595,0
https://hal.archives-ouvertes.fr/hal-02367727,0
https://hal.archives-ouvertes.fr/hal-03268470,0
https://hal.archives-ouvertes.fr/hal-03045804,0
https://hal.archives-ouvertes.fr/hal-02095527,3
https://hal.archives-ouvertes.fr/hal-01514654,0
https://hal.archives-ouvertes.fr/hal-03045877,1
https://hal.archives-ouvertes.fr/hal-03243478,0
https://hal.archives-ouvertes.fr/hal-02483306,0
https://hal.archives-ouvertes.fr/hal-03045837,1
https://hal.archives-ouvertes.fr/hal-03252585,0
https://hal.archives-ouvertes.fr/hal-03252482,0
https://hal.archives-ouvertes.fr/hal-03252505,0
https://hal.archives-ouvertes.fr/hal-03252557,0
https://hal.archives-ouvertes.fr/hal-03252518,0
https://hal-amu.archives-ouvertes.fr/hal-02576845,0
https://hal-amu.archives-ouvertes.fr/hal-02111159,1
https://halshs.archives-ouvertes.fr/halshs-02018089,1
https://hal.archives-ouvertes.fr/hal-02290402,0
https://halshs.archives-ouvertes.fr/halshs-02428751,0
https://hal.archives-ouvertes.fr/hal-03131518,0
https://hal-anses.archives-ouvertes.fr/anses-01504532,0
https://hal.archives-ouvertes.fr/hal-01726581,0
https://halshs.archives-ouvertes.fr/halshs-02188817,0
https://hal.archives-ouvertes.fr/hal-02510345,0
https://halshs.archives-ouvertes.fr/halshs-02505861,0
https://halshs.archives-ouvertes.fr/halshs-01710063,0
https://hal-paris1.archives-ouvertes.fr/hal-03018472,0
https://halshs.archives-ouvertes.fr/halshs-01241827,1
https://hal.archives-ouvertes.fr/hal-01593162,0
https://halshs.archives-ouvertes.fr/halshs-01321452,0
https://hal-paris1.archives-ouvertes.fr/hal-01436528,0
https://halshs.archives-ouvertes.fr/halshs-03028212,0
https://halshs.archives-ouvertes.fr/halshs-01582793,0
https://halshs.archives-ouvertes.fr/halshs-03220838,0
https://halshs.archives-ouvertes.fr/halshs-03220813,0
https://hal.archives-ouvertes.fr/hal-03221435,0
https://hal.archives-ouvertes.fr/hal-03221433,0
https://hal.archives-ouvertes.fr/hal-03221436,0
https://hal.archives-ouvertes.fr/hal-02501264,0
https://hal.archives-ouvertes.fr/hal-02386907,0
https://hal.archives-ouvertes.fr/hal-01441765,0
https://hal.archives-ouvertes.fr/hal-02310038,0
https://hal.archives-ouvertes.fr/hal-02195948,0
https://hal.archives-ouvertes.fr/hal-03213145,0
https://hal.archives-ouvertes.fr/hal-01781858,2
https://hal.archives-ouvertes.fr/hal-03268525,0
https://hal.archives-ouvertes.fr/hal-02024424,1
https://hal.archives-ouvertes.fr/hal-03264893,0
https://hal.archives-ouvertes.fr/hal-02958766,0
https://hal.archives-ouvertes.fr/hal-02284927,0
https://hal.archives-ouvertes.fr/hal-02385293,0
https://halshs.archives-ouvertes.fr/halshs-02274607,0
https://hal.archives-ouvertes.fr/hal-02130408,2
https://hal-udl.archives-ouvertes.fr/hal-02106973,0
https://hal-paris1.archives-ouvertes.fr/hal-02388420,0
https://hal.archives-ouvertes.fr/hal-01744554,0
https://hal.archives-ouvertes.fr/hal-03206959,0
https://hal.archives-ouvertes.fr/hal-01794958,0
https://hal.archives-ouvertes.fr/hal-03131328,0
https://hal.archives-ouvertes.fr/hal-02504274,0
https://hal.archives-ouvertes.fr/hal-01795104,0
https://hal.archives-ouvertes.fr/hal-02504725,0
https://halshs.archives-ouvertes.fr/halshs-03099741,0
https://halshs.archives-ouvertes.fr/halshs-02076546,0
https://hal.archives-ouvertes.fr/hal-02974380,0
https://hal-paris1.archives-ouvertes.fr/hal-01372527v4,0
https://hal-paris1.archives-ouvertes.fr/hal-02420489,2
https://halshs.archives-ouvertes.fr/halshs-01917569,1
